County,Candidate,Party
BRĂILA,POPESCU ALEXANDRA-MARIA,ALIANȚA NAȚIONAL CREȘTINĂ
BRĂILA,BALTASIU RADU,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRĂILA,RĂDULESCU DANIELA-ELENA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRĂILA,KOLER VIRGINIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRĂILA,LUNGU STĂNEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRĂILA,MATEI TIMOTEI,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BRĂILA,BĂJAN RODICA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BRĂILA,MIDDLETON ELISABETH-JOAN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BRĂILA,DRAGOMIR RADU,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BRĂILA,NIȚĂ LILIANA,FORȚA DREPTEI
BRĂILA,POPA MARIAN-DACIAN,FORȚA DREPTEI
BRĂILA,HULUBA IULIANA-CRISTINA,FORȚA DREPTEI
BRĂILA,LĂCĂTUȘ MARIUS-ANDREI,FORȚA DREPTEI
BRĂILA,DUMITRACHE CĂTĂLIN,PARTIDUL ECOLOGIST ROMÂN
BRĂILA,SIMION MARIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRĂILA,AVRAM ALEXANDRA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRĂILA,MANOLESCU CORNELIU-MARIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRĂILA,STRĂCHINESCU MARIAN,PARTIDUL NAȚIONAL LIBERAL
BRĂILA,LUNGU DĂNUȚ,PARTIDUL NAȚIONAL LIBERAL

BRĂILA,IFRIM CAMELIA,PARTIDUL NAȚIONAL LIBERAL
BRĂILA,SÎRBU MARIAN,PARTIDUL NAȚIONAL LIBERAL
BRĂILA,ROMAN LAVINIU,PARTIDUL NOUA ROMÂNIE
BRĂILA,SPIRIDON IULIAN-LAURENȚIU,PARTIDUL OAMENILOR TINERI
BRĂILA,MICU ANAMARIA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BRĂILA,MIHĂILĂ IULIAN-ADRIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BRĂILA,MOISE SORIN,PARTIDUL SOCIAL DEMOCRAT
BRĂILA,RÎNDUNICĂ ADRIAN-MARIUS,PARTIDUL SOCIAL DEMOCRAT
BRĂILA,VĂRZARU DAN-ANDREI,PARTIDUL SOCIAL DEMOCRAT
BRĂILA,MARCU MIRELA-ANDREEA,PARTIDUL SOCIAL DEMOCRAT
BRĂILA,MUREA CĂTĂLIN-DAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRĂILA,PETRESCU DAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRĂILA,VLĂDESCU ELENA-MIRABELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRĂILA,IACOB IONELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRĂILA,STAN DOINA DIANA,PARTIDUL SOCIAL DEMOCRAT UNIT
BRĂILA,PETREA DORIN-SILVIU,PARTIDUL S.O.S. ROMÂNIA
BRĂILA,IONEL CARMEN-PETRONELA,PARTIDUL S.O.S. ROMÂNIA
BRĂILA,RADU VASILICĂ,PARTIDUL S.O.S. ROMÂNIA
BRĂILA,NAZÎRU ADRIANA,PARTIDUL S.O.S. ROMÂNIA
BRĂILA,LUPU GHEORGHE,PARTIDUL VERDE
BRĂILA,IORGA IOANA,PARTIDUL VERDE
BRĂILA,IONIȚĂ VIOREL,PARTIDUL VERDE
BRĂILA,GROSU DUMITRU,PATRIOȚII POPORULUI ROMÂN
BRĂILA,URSACHI LAURA-DANIELA,PATRIOȚII POPORULUI ROMÂN
BRĂILA,ICHIM MARIANA,PATRIOȚII POPORULUI ROMÂN
BRĂILA,JARCU ANA-MARIA,PATRIOȚII POPORULUI ROMÂN
BRĂILA,GUGIU-FĂTU OLIMPIA,ROMÂNIA SOCIALISTĂ
BRĂILA,MĂRGINEANU ION,ROMÂNIA SOCIALISTĂ
BRĂILA,BOCĂNEALĂ MARCELA-LILIANA,ROMÂNIA SOCIALISTĂ
BRĂILA,MULCICĂ ILIE,ROMÂNIA SOCIALISTĂ
BRĂILA,ENCIU DUMITRU,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
BRĂILA,BERTICI ȘTEFAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRĂILA,ANDRÁS HUNOR-JENŐ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA

BRĂILA,GÁL ILONA-GYÖNGYI,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRĂILA,KRANOWSZKY-NAGY ANDREA-SZILVIA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRĂILA,CREȚAN MIHAI-GABRIEL,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,CONSTANTINESCU MARIANA,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,BORZEA PAUL-DENIS,ALIANȚA NAȚIONAL CREȘTINĂ
BUZĂU,BARTHA DANIELA-ELENA,ALIANȚA NAȚIONAL CREȘTINĂ
BUZĂU,ROMAN MARIUS-VALENTIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,JERCAN ȘTEFAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,OPREA AURELIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,CRISTESCU CONSTANTIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,ȘOTAE ALEXANDRU,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BUZĂU,CONSTANTIN GHEORGHE,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BUZĂU,CĂRĂBUȘ MARIANA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BUZĂU,FLORESCU ADRIAN-CONSTANTIN,FORȚA DREPTEI
BUZĂU,BRÎNCOVEANU ELENA-MĂDĂLINA,FORȚA DREPTEI
BUZĂU,PETRE NICOLAE-GEORGIAN,FORȚA DREPTEI
BUZĂU,BĂLESCU RADU-ȘTEFAN,FORȚA DREPTEI
BUZĂU,ISTRĂȚOIU VIOREL,FORȚA DREPTEI
BUZĂU,NANU DORU,PARTIDUL ECOLOGIST ROMÂN
BUZĂU,SÎMBOTIN REMUS,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,ZINCESCU ALIN-ȘTEFAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,COCONEA DANIELA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,RADU CRISTINA-RAMONA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,DINU VIORICA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,BENCHESCU-PECINGINĂ CLAUDIA,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,CALOTĂ GEORGIAN,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,DOBRE VASILE,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,VIERU MARIANA-ELIZA,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,BURLACU ALEXANDRU,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,MOISE EMIL,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BUZĂU,NIȚĂ DANIELA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BUZĂU,BĂLAN COSMIN-CIPRIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,ȘERBAN ADRIANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE

BUZĂU,PĂCURAR ELENA-IZABELA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,OLARU COSTICĂ,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,RADU FLORIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,ROMAȘCANU LUCIAN,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,ORBAN CARMEN,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,ȚEPELUȘ LAURENȚIU-CRISTINEL,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,DAMIAN CLAUDIU-CONSTANTIN,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,ROȘIORU CLAUDIA-CECILIA,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,VLASE GHEORGHE,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,CĂTĂLIN FLORIN-MILIȘOR,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,MITITELU LĂCRĂMIOARA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,MIHALAȘCU FLOAREA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,GRĂJDAN EDWARD-DANIEL,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,HOHOTĂ ELENA,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,POPOIU FĂNEL,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,MOCANU MARIAN,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,ENESCU EUGEN-GEORGE,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,MIHALCEA MIHAELA,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,IORDACHE ȘTEFAN,PATRIOȚII POPORULUI ROMÂN
BUZĂU,GRĂDIȘTEAN GHEORGHE,ROMÂNIA SOCIALISTĂ
BUZĂU,MARIN CONSTANTIN,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
BUZĂU,SEGESVÁRI ROBERT-KÁROLY,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,FŰSTŐȘ ATTILA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,NAGY ANA-MARIA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,RÁTZ ISTVÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,BODÓ ELŐD-BARNA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,PETRICEANU ȘTEFAN-CONSTANTIN,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,HOȚESCU CRISTINEL,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,SIMION ALINA-VALENTINA,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,MARCHIDANU SORIN,UNIUNEA SALVAȚI ROMÂNIA
CARAŞ-SEVERIN,CREȚU MARILENA,ALIANȚA NAȚIONAL CREȘTINĂ
CARAŞ-SEVERIN,PUREA PAUL,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,MICU DUMITRU,ALIANȚA PENTRU UNIREA ROMÂNILOR

CARAŞ-SEVERIN,OLTEANU LIDIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,POP IOAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,BARBU CONSTANTIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CARAŞ-SEVERIN,MIHĂLCESCU GHEORGHE,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CARAŞ-SEVERIN,IORDACHE ROXANA-MIHAELA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CARAŞ-SEVERIN,POPESCU HADRIAN-CONSTANTIN,FORȚA DREPTEI
CARAŞ-SEVERIN,POPOV ALONA,FORȚA DREPTEI
CARAŞ-SEVERIN,ANTON MANUELA-IONELA,FORȚA DREPTEI
CARAŞ-SEVERIN,MUSELIN MIHAI-MARTIN,FORȚA DREPTEI
CARAŞ-SEVERIN,CÎRSTINOIU IOANA,PARTIDUL ECOLOGIST ROMÂN
CARAŞ-SEVERIN,AMAN LETIȚIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,GOLÎMBA FLORIN-OCTAVIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,CARACONCEA ION,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,ENĂȘILĂ CLAUDIA-MARIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,PĂUN DIANA-LORETA,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,RĂDOI OVIDIU,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,SPOREA GHIȚĂ,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,GOLU MIRCEA-CĂTĂLIN,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,CIULIN DANIEL-MIREL,PARTIDUL NOUA ROMÂNIE
CARAŞ-SEVERIN,VELA GHEORGHE,PARTIDUL OAMENILOR TINERI
CARAŞ-SEVERIN,GALANI OLIMPIU-EUGEN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CARAŞ-SEVERIN,CÎMPEAN LUCIAN-DAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CARAŞ-SEVERIN,MĂLĂIESCU LUCA,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,STUPARU MARIANA-GABRIELA,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,DAVID-IZVERNAR PETRU-VALENTIN,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,ROF REMUS,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,COSMA NICOLE-LAVINIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CARAŞ-SEVERIN,MUNTEANU ANDREEA-LIGIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CARAŞ-SEVERIN,POSIPAL MARIUS,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CARAŞ-SEVERIN,OLARIU ȘTEFAN-PETRU,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CARAŞ-SEVERIN,SUCIU ALEX-GHEORGHE-SORIN,PARTIDUL SOCIAL DEMOCRAT UNIT
CARAŞ-SEVERIN,VELE CRISTINA-PROFIRA,PARTIDUL SOCIAL DEMOCRAT UNIT
CARAŞ-SEVERIN,SUCIU EUGEN-SORIN-OVIDIU,PARTIDUL SOCIAL DEMOCRAT UNIT

CARAŞ-SEVERIN,ANTONIE EMILIAN,PARTIDUL SOCIAL DEMOCRAT UNIT
CARAŞ-SEVERIN,MIHĂESCU LONETA-LUMINIȚA,PARTIDUL S.O.S. ROMÂNIA
CARAŞ-SEVERIN,BRUMARIU NICOLAE,PARTIDUL S.O.S. ROMÂNIA
CARAŞ-SEVERIN,ZELE-AZZOLA MARINELA-RENATE,PARTIDUL S.O.S. ROMÂNIA
CARAŞ-SEVERIN,LĂCĂTUȘU CLAUDIU-COSTICĂ,PARTIDUL S.O.S. ROMÂNIA
CARAŞ-SEVERIN,ROMEGA RAUL-ALEXANDRU,PATRIOȚII POPORULUI ROMÂN
CARAŞ-SEVERIN,AMARIEI ION,ROMÂNIA SOCIALISTĂ
CARAŞ-SEVERIN,FARA ION,ROMÂNIA SOCIALISTĂ
CARAŞ-SEVERIN,BLOTOR RODICA,ROMÂNIA SOCIALISTĂ
CARAŞ-SEVERIN,BRICIOG FLORICA GHEORGHINA,ROMÂNIA SOCIALISTĂ
CARAŞ-SEVERIN,CZEISZPERGER IZABELL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
CARAŞ-SEVERIN,WEISZ RAMONA-ANDREEA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
CARAŞ-SEVERIN,CSIBI ROBERT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
CARAŞ-SEVERIN,ZENG IOAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
CARAŞ-SEVERIN,RAD BOGDAN-GHEORGHE,UNIUNEA SALVAȚI ROMÂNIA
CARAŞ-SEVERIN,SINCULEȚ TEODORA-ALINA,UNIUNEA SALVAȚI ROMÂNIA
CARAŞ-SEVERIN,BLEDEA VASILE,UNIUNEA SALVAȚI ROMÂNIA
CARAŞ-SEVERIN,POPESCU ALIN,UNIUNEA SALVAȚI ROMÂNIA
CĂLĂRAŞI,BANNER-DOBRESCU IOANA-MIHAELA,ALIANȚA NAȚIONAL CREȘTINĂ
CĂLĂRAŞI,DUMITRU MARIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
CĂLĂRAŞI,DAMIAN ROBERT-OVIDIU,ALIANȚA PENTRU UNIREA ROMÂNILOR
CĂLĂRAŞI,NICOLA SIMONA,ALIANȚA PENTRU UNIREA ROMÂNILOR
CĂLĂRAŞI,PEANCI GEORGIAN-ADRIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
CĂLĂRAŞI,BOCA ȘTEFAN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
CĂLĂRAŞI,LAZĂR-ȘERBĂNESCU JAQUELINE-MARILENA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
CĂLĂRAŞI,PETRESCU NICOLAE,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CĂLĂRAŞI,BURDUȘA CIPRIAN-OCTAVIAN,FORȚA DREPTEI
CĂLĂRAŞI,BUTĂ ADRIAN,FORȚA DREPTEI
CĂLĂRAŞI,GRECEANU GABRIEL,FORȚA DREPTEI
CĂLĂRAŞI,MARINAȘ NINA,FORȚA DREPTEI
CĂLĂRAŞI,ȘTEFAN MIHAI,PARTIDUL ECOLOGIST ROMÂN
CĂLĂRAŞI,POPA NICU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CĂLĂRAŞI,DUMITRU THEODOR-CRISTIAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN

CĂLĂRAŞI,CONSTANTINESCU NICOLETA-SIMONA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CĂLĂRAŞI,TUDORAN MARIETA-RAMONA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CĂLĂRAŞI,DUMITRU FLORIAN-EMIL,PARTIDUL NAȚIONAL LIBERAL
CĂLĂRAŞI,OLTEANU CIPRIAN-ANDREI,PARTIDUL NAȚIONAL LIBERAL
CĂLĂRAŞI,CEAUȘESCU MONICA-SILVIA,PARTIDUL NAȚIONAL LIBERAL
CĂLĂRAŞI,STAN ȘTEFAN,PARTIDUL NAȚIONAL LIBERAL
CĂLĂRAŞI,ZABET ION,PARTIDUL NOUA ROMÂNIE
CĂLĂRAŞI,URSĂSCU CORINA-CĂTĂLINA,PARTIDUL OAMENILOR TINERI
CĂLĂRAŞI,URSĂSCU OCTAV-PETRU,PARTIDUL OAMENILOR TINERI
CĂLĂRAŞI,STRUȚ ALIN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CĂLĂRAŞI,BOBU NICOLAE,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CĂLĂRAŞI,IOSIF CAMELIA-ȘTEFANIA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CĂLĂRAŞI,NECULAI FLORIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CĂLĂRAŞI,RĂDUCANU VERONICA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CĂLĂRAŞI,MIHAI DANIELA,PARTIDUL SOCIAL DEMOCRAT
CĂLĂRAŞI,MIHAI BOGDAN-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT
CĂLĂRAŞI,MUNTEANU CRISTINA-LAURA,PARTIDUL SOCIAL DEMOCRAT
CĂLĂRAŞI,MARIN IOAN-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT
CĂLĂRAŞI,DUȚĂ IOSIF-LUCIAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CĂLĂRAŞI,DUMITRU VLASE,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CĂLĂRAŞI,MAGEARU CRISTINA-IOANA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CĂLĂRAŞI,CHELMUȘ FLORIN,PARTIDUL SOCIAL DEMOCRAT UNIT
CĂLĂRAŞI,NĂSTASE DANIEL,PARTIDUL SOCIAL DEMOCRAT UNIT
CĂLĂRAŞI,EREMIA MELANIA,PARTIDUL SOCIAL DEMOCRAT UNIT
CĂLĂRAŞI,ILIESCU MARINELA,PARTIDUL SOCIAL DEMOCRAT UNIT
CĂLĂRAŞI,RUSU IOAN-CRISTIAN,PARTIDUL S.O.S. ROMÂNIA
CĂLĂRAŞI,COZMA GABRIELA-CORNELIA,PARTIDUL S.O.S. ROMÂNIA
CĂLĂRAŞI,NEAGU ISPAS,PARTIDUL S.O.S. ROMÂNIA
CĂLĂRAŞI,PARASCHIV VALERIA-OANA,PARTIDUL S.O.S. ROMÂNIA
CĂLĂRAŞI,BOLNAVU-VĂTUI SILVIU,PATRIOȚII POPORULUI ROMÂN
CĂLĂRAŞI,LĂZĂREANU VIOREL,ROMÂNIA SOCIALISTĂ
CĂLĂRAŞI,LŐRINCZ CSILLA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
CĂLĂRAŞI,ERÖS JÁNOS,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA

CĂLĂRAŞI,TOTH BRIGITTA-ANNA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
CĂLĂRAŞI,SZŰCS IOAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
CĂLĂRAŞI,COJOCEA MARIAN,UNIUNEA SALVAȚI ROMÂNIA
CĂLĂRAŞI,OPREA ALEXANDRA-OANA,UNIUNEA SALVAȚI ROMÂNIA
CĂLĂRAŞI,RĂDUCU VALENTIN,UNIUNEA SALVAȚI ROMÂNIA
CĂLĂRAŞI,CEACU MIHAI-NICOLAE,UNIUNEA SALVAȚI ROMÂNIA
CLUJ,SAVA MIRCEA-ȘTEFAN,ALIANȚA NAȚIONAL CREȘTINĂ
CLUJ,ȘIPOȘ EUGEN-CRISTIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
CLUJ,NAP ADRIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
CLUJ,MESAROS SUSANA-LIANA,ALIANȚA PENTRU UNIREA ROMÂNILOR
CLUJ,FODOREAN TEODOR-GABRIEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
CLUJ,VLAD EMILIA-FELICIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
CLUJ,FLORESCU GIANI-MIRCEA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
CLUJ,CREȘTIN TEDY,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
CLUJ,PAIZS ALIZ-AMALIA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
CLUJ,SĂRAC FLORIN-ADRIAN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CLUJ,GĂTINA MĂRIOARA-STELA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CLUJ,MÎRZA ADELA-DORINA,FORȚA DREPTEI
CLUJ,CHIRIAC LIVIU-BOGDAN,FORȚA DREPTEI
CLUJ,MORAR IOAN-GHEORGHE,FORȚA DREPTEI
CLUJ,ZAMBLĂU EUGEN,FORȚA DREPTEI
CLUJ,RUS IOVIAN-MARINEL,FORȚA DREPTEI
CLUJ,GROZAV CIPRIAN-VICTOR,FORȚA DREPTEI
CLUJ,STOICA OCTAVIAN-HARRY,PARTIDUL ECOLOGIST ROMÂN
CLUJ,RUS SORIN-IOVU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CLUJ,STOICA SIMION-OVIDIU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CLUJ,HEGHEDUS FLORIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CLUJ,DON IOANA-ANAMARIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CLUJ,ABRUDEAN MIRCEA,PARTIDUL NAȚIONAL LIBERAL
CLUJ,RUSU RAREȘ STELIAN,PARTIDUL NAȚIONAL LIBERAL
CLUJ,FĂRGACIU CĂLIN-STELIAN,PARTIDUL NAȚIONAL LIBERAL
CLUJ,BĂLAȘA DANA-LIVIA,PARTIDUL NAȚIONAL LIBERAL
CLUJ,MOGA BOGDAN-CLAUDIU,PARTIDUL NAȚIONAL LIBERAL

CLUJ,MARCU VALTĂR,PARTIDUL NAȚIONAL LIBERAL
CLUJ,MĂRGINEAN FLORIN,PARTIDUL NOUA ROMÂNIE
CLUJ,SIMU VOICU-MIRCEA,PARTIDUL OAMENILOR TINERI
CLUJ,SUCUTURDEAN ADRIANA-LUMINIȚA,PARTIDUL OAMENILOR TINERI
CLUJ,CREȚEANU CRISTINA-DANIELA,PARTIDUL OAMENILOR TINERI
CLUJ,MIHALI CIPRIAN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CLUJ,OLTEAN DIANA-MARIA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CLUJ,BUIA RAREȘ-DANIEL,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CLUJ,ȘPAIMOC ADELA-MARIA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CLUJ,TĂMAȘ POMPILIU-FLAVIU,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CLUJ,MOLNAR CRISTIAN-SANDU,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CLUJ,POP CIPRIAN-MARCEL,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CLUJ,GOGA DAN-REMUS,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CLUJ,MORAR IULIU-CIPRIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CLUJ,MIJA LUANA-GEMMA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CLUJ,POPESCU ALEXANDRU-ADRIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CLUJ,MOLDOVAN VICTOR,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CLUJ,CORDOȘ ALEXANDRU,PARTIDUL SOCIAL DEMOCRAT
CLUJ,MARINCA ADINA-EMILIA,PARTIDUL SOCIAL DEMOCRAT
CLUJ,CHIRTEȘ HOREA DORIN,PARTIDUL SOCIAL DEMOCRAT
CLUJ,RUSU ANNA,PARTIDUL SOCIAL DEMOCRAT
CLUJ,POJAR VALENTIN-DOREL,PARTIDUL SOCIAL DEMOCRAT
CLUJ,RUS MIRCEA-IOSIF,PARTIDUL SOCIAL DEMOCRAT
CLUJ,DAN CĂLIN-ALIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CLUJ,ANDREI GABRIEL-IONEL,PARTIDUL SOCIAL DEMOCRAT UNIT
CLUJ,NICULA FLORIAN-ALEXANDRU,PARTIDUL S.O.S. ROMÂNIA
CLUJ,SIPOS ALEXANDRU,PARTIDUL S.O.S. ROMÂNIA
CLUJ,FEDIUC ADRIAN-MARIUS,PARTIDUL S.O.S. ROMÂNIA
